split,accuracy,precision,recall,f1,auc
1,0.74,0.7837719298245615,0.74,0.6843404906052971,0.8629332216910209
2,0.7533333333333333,0.7578886346300534,0.7533333333333333,0.7540122147881283,0.8935547341673263
3,0.8733333333333333,0.8717948717948718,0.8733333333333333,0.8724967090829311,0.9508080631790218
4,0.7066666666666667,0.7136450216450217,0.7066666666666667,0.6873620989410463,0.86545997394551
5,0.8733333333333333,0.8858108108108108,0.8733333333333333,0.873733384228305,0.9646103634816056
