epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.3607142835855484,0.4257142871618271,1.098168182373047,1.095520806312561
2,0.454285717010498,0.5171428680419922,1.0933295726776122,1.0891590595245362
3,0.5507142841815948,0.5857142984867096,1.0831262350082398,1.0743001699447632
4,0.6007142901420593,0.6285714387893677,1.062247109413147,1.040522003173828
5,0.631428575515747,0.6228571593761444,1.0107046008110045,0.9657629370689392
6,0.6692857146263123,0.6314285635948181,0.8981916189193726,0.8288978338241577
7,0.6835714221000672,0.6542857170104981,0.717962098121643,0.7104005217552185
8,0.7242857217788696,0.7085714340209961,0.5771103739738465,0.6579209446907044
9,0.7864285707473755,0.7485714316368103,0.4714066982269287,0.638495397567749
10,0.8335714340209961,0.7485714316368103,0.37663241326808927,0.6308298707008362
11,0.8821428537368774,0.7942857146263123,0.3065070629119873,0.5860037207603455
12,0.8964285850524902,0.7828571319580078,0.2597715318202972,0.6334543883800506
13,0.9278571486473084,0.7828571319580078,0.20040393024682998,0.6104537427425385
14,0.9526785761117935,0.8107142895460129,0.1173540810123086,0.5806786417961121
15,0.9669642746448517,0.7999999970197678,0.08467887062579393,0.5438631772994995
16,0.9687499850988388,0.8392857164144516,0.09167290758341551,0.49549032747745514
17,0.9773809512456259,0.8285714387893677,0.06382322683930397,0.5764809350172678
18,0.9767856895923615,0.8214285671710968,0.07656063139438629,0.5560648441314697
19,1.0,0.8714285492897034,0.019518598914146423,0.4976557195186615
20,0.9964285492897034,0.8571428656578064,0.024069607257843018,0.5355353355407715
21,0.9928571581840515,0.8571428656578064,0.01749841310083866,0.5336171984672546
22,0.9964285492897034,0.8714285492897034,0.024612078443169594,0.5086503624916077
23,0.9892857074737549,0.8714285492897034,0.018594393506646156,0.48451516032218933
