metric,mean,std
accuracy,0.7893333333333332,0.07854227453345673
precision,0.8025822537410638,0.0741258361466559
recall,0.7893333333333332,0.07854227453345673
f1,0.7743889795291417,0.09432928785232031
auc,0.9074732712928968,0.047658184868520095
