epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.34928570985794066,0.34571429491043093,1.1048771858215332,1.0961824178695678
2,0.39785714745521544,0.37428572177886965,1.0907670974731445,1.094370698928833
3,0.45785714983940123,0.39428572058677674,1.0708821535110473,1.0907656669616699
4,0.477142858505249,0.4257142901420593,1.061053991317749,1.0847499132156373
5,0.5307142972946167,0.4514285743236542,1.03671395778656,1.0708754301071166
6,0.5671428501605987,0.4857142984867096,1.0115453481674195,1.053161334991455
7,0.6135714054107666,0.508571445941925,0.960670530796051,1.026397669315338
8,0.6192857027053833,0.5314285695552826,0.9093190431594849,0.9910071730613709
9,0.6514285683631897,0.5400000154972077,0.8457399010658264,0.9709752559661865
10,0.6535714268684387,0.5228571474552155,0.7697466731071472,0.9657800078392029
11,0.7035714268684388,0.5485714375972748,0.6951868653297424,0.9436650156974793
12,0.7278571367263794,0.5371428608894349,0.64685218334198,0.953103768825531
13,0.7435714125633239,0.577142858505249,0.6034679889678956,0.942414653301239
14,0.7964285761117935,0.6142857149243355,0.540756843984127,0.9172583967447281
15,0.8119047482808431,0.6428571343421936,0.5092746913433075,0.874059816201528
16,0.8190476099650065,0.661904772122701,0.47846584518750507,0.8879920045534769
17,0.8374999761581421,0.6285714209079742,0.47048719227313995,0.9092512130737305
18,0.7964285612106323,0.6142857074737549,0.5882178544998169,0.88721764087677
19,0.8107143044471741,0.6285714507102966,0.564030647277832,0.8968185186386108
20,0.8214285969734192,0.6285714507102966,0.5555338859558105,0.9051727056503296
