split,accuracy,precision,recall,f1,auc
1,0.48,0.5848857142857142,0.48,0.4016990247014857,0.7193584168399824
2,0.64,0.6645361632909035,0.64,0.6300730593607305,0.7830483337800411
3,0.7066666666666667,0.7114549397172348,0.7066666666666667,0.7047758337889557,0.8287259063492756
4,0.5933333333333334,0.5929923877794846,0.5933333333333334,0.5927062190996617,0.7644649237445608
5,0.5466666666666666,0.5660789704815365,0.5466666666666666,0.5180971449758992,0.7344183691773027
