metric,mean,std
accuracy,0.5933333333333334,0.08666666666666668
precision,0.6239896351109747,0.06151786630965979
recall,0.5933333333333334,0.08666666666666668
f1,0.5694702563853465,0.11544110156792675
auc,0.7660031899782325,0.0430127251674954
