epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.39642857313156127,0.3771428644657135,1.0866865396499634,1.0963905334472657
2,0.46142857670784,0.4057142913341522,1.0836121797561646,1.094020676612854
3,0.49357142448425295,0.40285714864730837,1.0798856735229492,1.0898247003555297
4,0.48857142329216,0.40857143998146056,1.0745467662811279,1.0846640110015868
5,0.51357142329216,0.4371428608894348,1.0674228191375732,1.0765246152877808
6,0.5449999988079071,0.5085714280605316,1.054323101043701,1.0628686189651488
7,0.5699999928474426,0.565714293718338,1.035111379623413,1.0409833431243896
8,0.5878571510314942,0.6285714328289032,1.0101036787033082,1.007046139240265
9,0.6428571462631225,0.6428571462631225,0.9652083992958069,0.9626855254173279
10,0.6878571510314941,0.6428571581840515,0.904228127002716,0.9146116971969604
11,0.7121428608894348,0.6657142996788025,0.8310932874679565,0.8730509042739868
12,0.7092857122421264,0.6600000023841858,0.7744484066963195,0.8317573070526123
13,0.7357142686843872,0.6485714435577392,0.7167275428771973,0.8114511847496033
14,0.7592857122421265,0.6571428656578064,0.6471198201179504,0.7898460984230041
15,0.7799999952316284,0.6714285731315612,0.5980358183383941,0.793427312374115
16,0.8235714435577393,0.677142858505249,0.5214165389537812,0.7909722208976746
