split,accuracy,precision,recall,f1,auc
1,0.84,0.8394292803970225,0.84,0.8393638583003935,0.9276357662631061
2,0.6066666666666667,0.5987555555555556,0.6066666666666667,0.5932054015636106,0.8269219618850929
3,0.7333333333333333,0.7363461758972595,0.7333333333333333,0.7299326714595459,0.8595128392122152
4,0.6066666666666667,0.6082874735777961,0.6066666666666667,0.6046804044669847,0.7911913592174511
5,0.6866666666666666,0.7437753357753358,0.6866666666666666,0.6281463029850127,0.8034225432977561
